engine_id,health_index,predicted_rul,true_rul,error,alert_level
5,1.2,1.5,15,-13.5,CRITICAL
236,1.2,1.5,12,-10.5,CRITICAL
177,1.3,1.7,6,-4.3,CRITICAL
158,1.3,1.7,15,-13.3,CRITICAL
231,1.3,1.6,8,-6.4,CRITICAL
100,1.3,1.7,14,-12.3,CRITICAL
190,1.4,1.7,12,-10.3,CRITICAL
52,1.4,1.8,53,-51.2,CRITICAL
107,1.5,1.9,61,-59.1,CRITICAL
115,1.5,1.9,91,-89.1,CRITICAL
222,1.5,1.8,75,-73.2,CRITICAL
192,1.6,2.0,13,-11.0,CRITICAL
4,1.6,2.1,110,-107.9,CRITICAL
63,1.6,2.0,39,-37.0,CRITICAL
198,1.7,2.1,32,-29.9,CRITICAL
43,1.7,2.1,18,-15.9,CRITICAL
10,1.7,2.1,79,-76.9,CRITICAL
123,1.8,2.3,125,-122.7,CRITICAL
117,1.8,2.3,125,-122.7,CRITICAL
143,1.8,2.2,81,-78.8,CRITICAL
253,1.9,2.3,43,-40.7,CRITICAL
112,1.9,2.4,50,-47.6,CRITICAL
79,1.9,2.4,91,-88.6,CRITICAL
49,2.0,2.4,122,-119.6,CRITICAL
60,2.0,2.5,73,-70.5,CRITICAL
125,2.1,2.6,125,-122.4,CRITICAL
93,2.2,2.8,125,-122.2,CRITICAL
105,2.2,2.7,116,-113.3,CRITICAL
154,2.2,2.7,103,-100.3,CRITICAL
232,2.2,2.8,101,-98.2,CRITICAL
20,2.2,2.8,54,-51.2,CRITICAL
240,2.3,2.9,121,-118.1,CRITICAL
136,2.3,2.9,87,-84.1,CRITICAL
128,2.3,2.8,108,-105.2,CRITICAL
69,2.4,3.0,115,-112.0,CRITICAL
74,2.8,3.5,86,-82.5,CRITICAL
204,2.8,3.5,121,-117.5,CRITICAL
103,3.0,3.8,8,-4.2,CRITICAL
250,3.1,3.9,23,-19.1,CRITICAL
6,3.3,4.2,125,-120.8,CRITICAL
45,3.4,4.3,15,-10.7,CRITICAL
22,3.4,4.2,10,-5.8,CRITICAL
44,3.5,4.4,6,-1.5999999999999996,CRITICAL
1,3.5,4.3,18,-13.7,CRITICAL
210,3.6,4.5,8,-3.5,CRITICAL
159,3.7,4.7,9,-4.3,CRITICAL
71,3.7,4.6,125,-120.4,CRITICAL
57,3.7,4.7,123,-118.3,CRITICAL
185,4.1,5.2,19,-13.8,CRITICAL
90,4.1,5.1,8,-2.9000000000000004,CRITICAL
134,4.2,5.2,9,-3.8,CRITICAL
148,4.4,5.5,11,-5.5,CRITICAL
64,4.5,5.7,14,-8.3,CRITICAL
70,4.6,5.7,17,-11.3,CRITICAL
138,4.6,5.7,7,-1.2999999999999998,CRITICAL
252,4.8,6.0,12,-6.0,CRITICAL
237,4.8,6.0,62,-56.0,CRITICAL
